time,freq,imp,phase
2019/11/14 12:56:25.320,20.0,6998.334259,-85.40592562
2019/11/14 12:56:26.700,30.0,4754.012918,-85.44976599
2019/11/14 12:56:27.903,40.0,3616.532052,-85.3839664
2019/11/14 12:56:28.887,50.0,2914.509787,-85.35723619
2019/11/14 12:56:29.751,60.0,2446.67741,-85.23484228
2019/11/14 12:56:30.697,70.0,2112.737022,-85.21196981
2019/11/14 12:56:31.448,80.0,1859.126301,-85.1084749
2019/11/14 12:56:32.182,90.0,1660.203436,-84.96510774
2019/11/14 12:56:32.783,100.0,1501.418871,-84.88198101
2019/11/14 12:56:33.251,112.2018454301963,1345.183566,-84.68976057
2019/11/14 12:56:33.709,125.89254117941675,1203.605686,-84.49924122
2019/11/14 12:56:34.120,141.2537544622754,1077.486284,-84.33730619
2019/11/14 12:56:34.496,158.48931924611142,965.5602544,-84.10974824
2019/11/14 12:56:34.864,177.82794100389228,865.0780865,-83.82323975
2019/11/14 12:56:35.276,199.52623149688787,774.9954816,-83.53844839
2019/11/14 12:56:35.601,223.872113856834,694.4549911,-83.18664562
2019/11/14 12:56:35.911,251.18864315095797,622.5673971,-82.8049426
2019/11/14 12:56:36.207,281.8382931264455,558.4232795,-82.36877708
2019/11/14 12:56:36.503,316.22776601683796,500.9999175,-81.89668017
2019/11/14 12:56:36.798,354.8133892335753,449.7757298,-81.37343489
2019/11/14 12:56:37.081,398.1071705534973,403.9438447,-80.79786083
2019/11/14 12:56:37.332,446.683592150963,363.1710011,-80.17604958
2019/11/14 12:56:37.592,501.18723362727246,326.77564,-79.49303112
2019/11/14 12:56:37.866,562.341325190349,294.391566,-78.76683225
2019/11/14 12:56:38.124,630.957344480193,265.4704762,-78.01095691
2019/11/14 12:56:38.415,707.945784384138,239.6604616,-77.17123179
2019/11/14 12:56:38.671,794.3282347242813,216.7022729,-76.32798939
2019/11/14 12:56:38.924,891.2509381337459,196.251303,-75.45394158
2019/11/14 12:56:39.151,1000.0,177.993432,-74.55810209
2019/11/14 12:56:39.323,1122.018454301963,161.6558549,-73.64751167
2019/11/14 12:56:39.512,1258.9254117941675,147.0241075,-72.76316384
2019/11/14 12:56:39.680,1412.5375446227554,133.8036832,-71.8514913
2019/11/14 12:56:39.857,1584.893192461114,121.9230852,-70.94503932
2019/11/14 12:56:40.040,1778.2794100389228,111.2137954,-70.05171249
2019/11/14 12:56:40.202,1995.2623149688789,101.4517404,-69.130057
2019/11/14 12:56:40.388,2238.72113856834,92.56669578,-68.20245018
2019/11/14 12:56:40.551,2511.886431509582,84.52013283,-67.21602973
2019/11/14 12:56:40.740,2818.382931264455,77.19909987,-66.17368236
2019/11/14 12:56:40.900,3162.2776601683795,70.5590772,-65.03728837
2019/11/14 12:56:41.068,3548.133892335753,64.51585693,-63.81697818
2019/11/14 12:56:41.231,3981.0717055349733,59.06439644,-62.48347613
2019/11/14 12:56:41.396,4466.835921509635,54.14297651,-61.0224903
2019/11/14 12:56:41.566,5011.872336272725,49.71955736,-59.44156059
2019/11/14 12:56:41.735,5623.413251903491,45.75515606,-57.73247403
2019/11/14 12:56:41.899,6309.57344480193,42.19464169,-55.89047278
2019/11/14 12:56:42.066,7079.457843841381,39.02172669,-53.92040502
2019/11/14 12:56:42.230,7943.282347242822,36.19706625,-51.82354254
2019/11/14 12:56:42.397,8912.509381337459,33.69874593,-49.61099221
2019/11/14 12:56:42.550,10000.0,31.49237116,-47.304417
2019/11/14 12:56:42.722,11220.184543019654,29.54662695,-44.9080748
2019/11/14 12:56:42.867,12589.254117941662,27.84376144,-42.41307767
2019/11/14 12:56:43.017,14125.375446227554,26.35520515,-39.88768952
2019/11/14 12:56:43.169,15848.93192461114,25.07338523,-37.34106396
2019/11/14 12:56:43.314,17782.794100389227,23.97080398,-34.79725964
2019/11/14 12:56:43.467,19952.62314968883,23.01870605,-32.27939088
2019/11/14 12:56:43.619,22387.21138568338,22.21082652,-29.80163662
2019/11/14 12:56:43.765,25118.864315095823,21.52592127,-27.39930783
2019/11/14 12:56:43.916,28183.82931264455,20.95194256,-25.1088052
2019/11/14 12:56:44.069,31622.776601683792,20.47476594,-22.93457722
2019/11/14 12:56:44.218,35481.3389233576,20.07139362,-20.87696896
2019/11/14 12:56:44.367,39810.71705534969,19.74146312,-18.96255806
2019/11/14 12:56:44.519,44668.359215096345,19.46087194,-17.15965709
2019/11/14 12:56:44.666,50118.72336272725,19.22940865,-15.52584415
2019/11/14 12:56:44.815,56234.13251903491,19.04737173,-14.02014695
2019/11/14 12:56:44.969,63095.73444801943,18.89077545,-12.64826795
2019/11/14 12:56:45.114,70794.57843841374,18.76415434,-11.38695619
2019/11/14 12:56:45.263,79432.82347242821,18.66063138,-10.24706573
2019/11/14 12:56:45.419,89125.0938133746,18.57050566,-9.227493992
2019/11/14 12:56:45.561,100000.0,18.50339407,-8.294592621
2019/11/14 12:56:45.697,112201.84543019652,18.44503215,-7.460382516
2019/11/14 12:56:45.866,125892.54117941661,18.39983724,-6.720027136
2019/11/14 12:56:46.014,141253.75446227554,18.36198443,-6.061151884
2019/11/14 12:56:46.163,158489.3192461114,18.32493831,-5.452392636
2019/11/14 12:56:46.319,177827.94100389228,18.29964025,-4.945986214
2019/11/14 12:56:46.461,199526.2314968883,18.27159713,-4.448261113
2019/11/14 12:56:46.602,223872.11385683378,18.25804621,-4.042942482
2019/11/14 12:56:46.766,251188.6431509582,18.24314479,-3.680768043
2019/11/14 12:56:46.914,281838.2931264455,18.23006061,-3.358536647
2019/11/14 12:56:47.063,316227.7660168379,18.21991838,-3.081751856
2019/11/14 12:56:47.219,354813.389233576,18.21320055,-2.840192014
2019/11/14 12:56:47.361,398107.1705534969,18.20306284,-2.62896478
2019/11/14 12:56:47.511,446683.5921509635,18.20331839,-2.455388151
2019/11/14 12:56:47.672,501187.2336272725,18.19985825,-2.300295403
2019/11/14 12:56:47.814,562341.3251903491,18.19693316,-2.180753495
2019/11/14 12:56:47.963,630957.3444801943,18.19772924,-2.090857908
2019/11/14 12:56:48.119,707945.7843841374,18.19928334,-2.034222471
2019/11/14 12:56:48.261,794328.2347242822,18.20124428,-2.006691775
2019/11/14 12:56:48.398,891250.9381337459,18.20441634,-1.986928184
2019/11/14 12:56:48.566,1000000.0,18.21250153,-2.008193313
