Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.09E+01,1.44E+01,2.53E+01,34.5
8.25E+05,2.00E+01,1.19E+01,2.32E+01,30.8
6.82E+05,2.01E+01,8.72E+00,2.19E+01,23.5
5.63E+05,1.96E+01,7.08E+00,2.08E+01,19.9
4.64E+05,1.94E+01,5.43E+00,2.01E+01,15.7
3.83E+05,1.91E+01,4.24E+00,1.95E+01,12.5
3.16E+05,1.90E+01,2.99E+00,1.92E+01,9
2.61E+05,1.89E+01,1.96E+00,1.90E+01,5.9
2.16E+05,1.89E+01,9.65E-01,1.89E+01,2.9
1.78E+05,1.89E+01,1.53E-02,1.89E+01,0
1.47E+05,1.91E+01,-9.11E-01,1.91E+01,-2.7
1.21E+05,1.94E+01,-1.82E+00,1.94E+01,-5.4
9.96E+04,1.95E+01,-2.71E+00,1.97E+01,-7.9
8.25E+04,1.96E+01,-3.65E+00,2.00E+01,-10.5
6.81E+04,1.98E+01,-4.72E+00,2.04E+01,-13.4
5.62E+04,2.01E+01,-5.91E+00,2.09E+01,-16.4
4.64E+04,2.04E+01,-7.24E+00,2.16E+01,-19.6
3.83E+04,2.08E+01,-8.72E+00,2.26E+01,-22.7
3.17E+04,2.14E+01,-1.04E+01,2.38E+01,-25.9
2.61E+04,2.20E+01,-1.21E+01,2.51E+01,-28.7
2.15E+04,2.28E+01,-1.39E+01,2.66E+01,-31.4
1.78E+04,2.36E+01,-1.62E+01,2.86E+01,-34.6
1.47E+04,2.45E+01,-1.92E+01,3.11E+01,-38.1
1.22E+04,2.56E+01,-2.27E+01,3.42E+01,-41.6
1.00E+04,2.66E+01,-2.68E+01,3.78E+01,-45.1
8.30E+03,2.77E+01,-3.13E+01,4.18E+01,-48.5
6.84E+03,2.89E+01,-3.66E+01,4.66E+01,-51.7
5.62E+03,3.04E+01,-4.29E+01,5.26E+01,-54.7
4.64E+03,3.22E+01,-5.02E+01,5.96E+01,-57.3
3.91E+03,3.43E+01,-5.88E+01,6.80E+01,-59.8
3.17E+03,3.66E+01,-6.87E+01,7.78E+01,-61.9
2.69E+03,3.92E+01,-8.02E+01,8.93E+01,-63.9
2.20E+03,4.26E+01,-9.57E+01,1.05E+02,-66
1.71E+03,4.63E+01,-1.14E+02,1.23E+02,-67.9
1.47E+03,5.00E+01,-1.34E+02,1.43E+02,-69.5
1.22E+03,5.41E+01,-1.58E+02,1.67E+02,-71.1
9.77E+02,5.85E+01,-1.87E+02,1.96E+02,-72.6
8.25E+02,6.31E+01,-2.20E+02,2.29E+02,-74
6.84E+02,6.85E+01,-2.60E+02,2.68E+02,-75.2
5.62E+02,7.46E+01,-3.08E+02,3.17E+02,-76.4
4.64E+02,8.19E+01,-3.67E+02,3.76E+02,-77.4
3.81E+02,9.04E+01,-4.37E+02,4.47E+02,-78.3
3.17E+02,1.01E+02,-5.22E+02,5.32E+02,-79.1
2.59E+02,1.13E+02,-6.24E+02,6.34E+02,-79.7
2.15E+02,1.28E+02,-7.46E+02,7.57E+02,-80.2
1.76E+02,1.46E+02,-8.91E+02,9.02E+02,-80.7
1.47E+02,1.67E+02,-1.06E+03,1.07E+03,-81
1.22E+02,1.92E+02,-1.27E+03,1.28E+03,-81.4
9.77E+01,2.22E+02,-1.52E+03,1.53E+03,-81.7
8.25E+01,2.58E+02,-1.80E+03,1.82E+03,-81.9
6.81E+01,3.01E+02,-2.15E+03,2.17E+03,-82
5.62E+01,3.53E+02,-2.56E+03,2.59E+03,-82.2
4.64E+01,4.16E+02,-3.06E+03,3.09E+03,-82.3
3.83E+01,4.90E+02,-3.65E+03,3.68E+03,-82.4
3.16E+01,5.78E+02,-4.35E+03,4.39E+03,-82.4
2.61E+01,6.83E+02,-5.19E+03,5.23E+03,-82.5
2.15E+01,8.08E+02,-6.20E+03,6.25E+03,-82.6
1.78E+01,9.55E+02,-7.42E+03,7.48E+03,-82.7
1.47E+01,1.13E+03,-8.86E+03,8.93E+03,-82.7
1.21E+01,1.33E+03,-1.06E+04,1.06E+04,-82.8
1.00E+01,1.58E+03,-1.26E+04,1.27E+04,-82.8
8.25E+00,1.88E+03,-1.50E+04,1.51E+04,-82.9
6.81E+00,2.23E+03,-1.79E+04,1.81E+04,-82.9
5.62E+00,2.69E+03,-2.15E+04,2.17E+04,-82.9
4.64E+00,3.24E+03,-2.58E+04,2.60E+04,-82.8
3.83E+00,3.90E+03,-3.07E+04,3.09E+04,-82.8
3.16E+00,4.65E+03,-3.66E+04,3.69E+04,-82.8
2.61E+00,5.52E+03,-4.37E+04,4.40E+04,-82.8
2.15E+00,6.47E+03,-5.25E+04,5.29E+04,-83
1.78E+00,7.55E+03,-6.30E+04,6.34E+04,-83.2
1.47E+00,9.03E+03,-7.50E+04,7.56E+04,-83.1
1.21E+00,1.10E+04,-8.92E+04,8.98E+04,-83
1.00E+00,1.34E+04,-1.05E+05,1.06E+05,-82.7
