time,freq,imp,phase
2019/11/14 12:52:54.485,20.0,6819.364413,-84.94104637
2019/11/14 12:52:55.869,30.0,4639.593658,-85.02161533
2019/11/14 12:52:57.071,40.0,3531.4224,-85.13268361
2019/11/14 12:52:58.056,50.0,2853.462471,-84.94863312
2019/11/14 12:52:58.918,60.0,2400.312545,-84.80598479
2019/11/14 12:52:59.865,70.0,2070.770762,-84.82555689
2019/11/14 12:53:00.617,80.0,1822.766795,-84.71515156
2019/11/14 12:53:01.350,90.0,1628.824937,-84.58753852
2019/11/14 12:53:01.951,100.0,1473.352674,-84.51560197
2019/11/14 12:53:02.419,112.2018454301963,1321.38344,-84.3534653
2019/11/14 12:53:02.876,125.89254117941675,1183.428216,-84.18403871
2019/11/14 12:53:03.284,141.2537544622754,1059.616261,-83.98525631
2019/11/14 12:53:03.648,158.48931924611142,949.7817875,-83.75774598
2019/11/14 12:53:04.014,177.82794100389228,851.274533,-83.48110551
2019/11/14 12:53:04.427,199.52623149688787,762.984818,-83.18969243
2019/11/14 12:53:04.752,223.872113856834,684.2491441,-82.85501547
2019/11/14 12:53:05.062,251.18864315095797,613.6297346,-82.46989945
2019/11/14 12:53:05.358,281.8382931264455,550.5337749,-82.04637748
2019/11/14 12:53:05.654,316.22776601683796,494.1693213,-81.58196914
2019/11/14 12:53:05.949,354.8133892335753,443.7879242,-81.05474795
2019/11/14 12:53:06.233,398.1071705534973,398.7719048,-80.48153383
2019/11/14 12:53:06.483,446.683592150963,358.6874447,-79.861828
2019/11/14 12:53:06.743,501.18723362727246,322.8461372,-79.18733048
2019/11/14 12:53:07.017,562.341325190349,290.9807739,-78.46846842
2019/11/14 12:53:07.275,630.957344480193,262.5260258,-77.70985154
2019/11/14 12:53:07.567,707.945784384138,237.169536,-76.86741287
2019/11/14 12:53:07.823,794.3282347242813,214.4736727,-76.03880285
2019/11/14 12:53:08.076,891.2509381337459,194.3122314,-75.1509953
2019/11/14 12:53:08.303,1000.0,176.2507515,-74.27177154
2019/11/14 12:53:08.475,1122.018454301963,160.1227951,-73.37585324
2019/11/14 12:53:08.663,1258.9254117941675,145.623352,-72.4827407
2019/11/14 12:53:08.832,1412.5375446227554,132.5897227,-71.55988244
2019/11/14 12:53:09.008,1584.893192461114,120.9049995,-70.66149196
2019/11/14 12:53:09.191,1778.2794100389228,110.3193921,-69.76035755
2019/11/14 12:53:09.353,1995.2623149688789,100.6572661,-68.84312606
2019/11/14 12:53:09.539,2238.72113856834,91.89274003,-67.90381055
2019/11/14 12:53:09.703,2511.886431509582,83.93312767,-66.92059682
2019/11/14 12:53:09.892,2818.382931264455,76.70267123,-65.86266229
2019/11/14 12:53:10.052,3162.2776601683795,70.12677554,-64.75197689
2019/11/14 12:53:10.220,3548.133892335753,64.16027735,-63.52587376
2019/11/14 12:53:10.382,3981.0717055349733,58.75631165,-62.19416369
2019/11/14 12:53:10.548,4466.835921509635,53.88602534,-60.7458232
2019/11/14 12:53:10.718,5011.872336272725,49.49788709,-59.16670151
2019/11/14 12:53:10.886,5623.413251903491,45.56660282,-57.46486443
2019/11/14 12:53:11.050,6309.57344480193,42.04394255,-55.61390413
2019/11/14 12:53:11.217,7079.457843841381,38.90847336,-53.65516157
2019/11/14 12:53:11.382,7943.282347242822,36.10814494,-51.58487943
2019/11/14 12:53:11.548,8912.509381337459,33.62070287,-49.3750494
2019/11/14 12:53:11.702,10000.0,31.43791041,-47.07637703
2019/11/14 12:53:11.873,11220.184543019654,29.50166309,-44.68666893
2019/11/14 12:53:12.018,12589.254117941662,27.80879438,-42.21762203
2019/11/14 12:53:12.168,14125.375446227554,26.32663347,-39.6999779
2019/11/14 12:53:12.321,15848.93192461114,25.05563252,-37.15550511
2019/11/14 12:53:12.465,17782.794100389227,23.96048185,-34.63400097
2019/11/14 12:53:12.619,19952.62314968883,23.01281139,-32.11528901
2019/11/14 12:53:12.771,22387.21138568338,22.21007418,-29.67261249
2019/11/14 12:53:12.917,25118.864315095823,21.52756033,-27.27911153
2019/11/14 12:53:13.067,28183.82931264455,20.95730399,-24.99902933
2019/11/14 12:53:13.220,31622.776601683792,20.47925943,-22.84191705
2019/11/14 12:53:13.370,35481.3389233576,20.07638472,-20.78955097
