time,freq,imp,phase
2019/11/14 13:30:48.292,20.0,6870.020954,-84.0365511
2019/11/14 13:30:49.669,30.0,4694.874578,-83.98585705
2019/11/14 13:30:50.872,40.0,3589.913624,-83.93450934
2019/11/14 13:30:51.857,50.0,2904.573236,-83.71148572
2019/11/14 13:30:52.720,60.0,2445.468609,-83.53754617
2019/11/14 13:30:53.666,70.0,2119.536385,-83.43351523
2019/11/14 13:30:54.402,80.0,1869.656419,-83.29595827
2019/11/14 13:30:55.134,90.0,1674.712264,-83.11228367
2019/11/14 13:30:55.831,100.0,1518.147308,-82.98016711
2019/11/14 13:30:56.288,112.2018454301963,1364.030597,-82.74102508
2019/11/14 13:30:56.745,125.89254117941675,1224.703442,-82.59079362
2019/11/14 13:30:57.154,141.2537544622754,1100.233755,-82.36928221
2019/11/14 13:30:57.516,158.48931924611142,988.987641,-82.11992256
2019/11/14 13:30:57.882,177.82794100389228,889.5087441,-81.86162208
2019/11/14 13:30:58.293,199.52623149688787,799.650914,-81.55664928
2019/11/14 13:30:58.620,223.872113856834,719.0481881,-81.26682568
2019/11/14 13:30:58.931,251.18864315095797,646.9284571,-80.93680375
2019/11/14 13:30:59.227,281.8382931264455,582.3238301,-80.58875854
2019/11/14 13:30:59.523,316.22776601683796,524.2836315,-80.20747171
2019/11/14 13:30:59.817,354.8133892335753,472.222024,-79.80700687
2019/11/14 13:31:00.101,398.1071705534973,425.4622297,-79.36236593
2019/11/14 13:31:00.351,446.683592150963,383.5252749,-78.87412172
2019/11/14 13:31:00.611,501.18723362727246,345.8991619,-78.37068648
2019/11/14 13:31:00.885,562.341325190349,312.3641944,-77.82344855
2019/11/14 13:31:01.144,630.957344480193,282.1591583,-77.24894487
2019/11/14 13:31:01.404,707.945784384138,255.2050445,-76.61446583
2019/11/14 13:31:01.691,794.3282347242813,230.9008112,-75.99179656
2019/11/14 13:31:01.943,891.2509381337459,209.1775573,-75.33120429
2019/11/14 13:31:02.170,1000.0,189.6412663,-74.66265227
2019/11/14 13:31:02.344,1122.018454301963,172.0853178,-73.97500174
2019/11/14 13:31:02.532,1258.9254117941675,156.2949506,-73.28237873
2019/11/14 13:31:02.700,1412.5375446227554,141.9938794,-72.56287862
2019/11/14 13:31:02.876,1584.893192461114,129.1088993,-71.82579172
2019/11/14 13:31:03.060,1778.2794100389228,117.4272779,-71.07421817
2019/11/14 13:31:03.222,1995.2623149688789,106.8405034,-70.26596864
2019/11/14 13:31:03.408,2238.72113856834,97.19701318,-69.41520935
2019/11/14 13:31:03.571,2511.886431509582,88.48994018,-68.47067352
2019/11/14 13:31:03.759,2818.382931264455,80.60347321,-67.47828248
2019/11/14 13:31:03.920,3162.2776601683795,73.46686979,-66.36294239
2019/11/14 13:31:04.089,3548.133892335753,67.01773885,-65.14493613
2019/11/14 13:31:04.251,3981.0717055349733,61.21989818,-63.81172618
2019/11/14 13:31:04.416,4466.835921509635,56.0083351,-62.3488483
2019/11/14 13:31:04.586,5011.872336272725,51.3345756,-60.77667037
2019/11/14 13:31:04.755,5623.413251903491,47.15118687,-59.0670117
2019/11/14 13:31:04.918,6309.57344480193,43.4113714,-57.23269187
2019/11/14 13:31:05.086,7079.457843841381,40.09560604,-55.2825151
2019/11/14 13:31:05.250,7943.282347242822,37.13323934,-53.20452655
2019/11/14 13:31:05.417,8912.509381337459,34.51252786,-51.01983993
2019/11/14 13:31:05.570,10000.0,32.18611117,-48.75228156
2019/11/14 13:31:05.741,11220.184543019654,30.13581616,-46.36548655
2019/11/14 13:31:05.887,12589.254117941662,28.34277131,-43.91444769
2019/11/14 13:31:06.037,14125.375446227554,26.7715093,-41.41086428
2019/11/14 13:31:06.190,15848.93192461114,25.40180852,-38.89230746
2019/11/14 13:31:06.337,17782.794100389227,24.22428691,-36.35812607
2019/11/14 13:31:06.487,19952.62314968883,23.20486598,-33.83694147
2019/11/14 13:31:06.639,22387.21138568338,22.33008188,-31.34932298
2019/11/14 13:31:06.785,25118.864315095823,21.59200619,-28.93317981
2019/11/14 13:31:06.935,28183.82931264455,20.956987,-26.61293194
2019/11/14 13:31:07.089,31622.776601683792,20.42824141,-24.38972999
2019/11/14 13:31:07.238,35481.3389233576,19.97917756,-22.27372529
2019/11/14 13:31:07.387,39810.71705534969,19.60419721,-20.30917135
2019/11/14 13:31:07.539,44668.359215096345,19.29146799,-18.47169224
2019/11/14 13:31:07.686,50118.72336272725,19.03029846,-16.75624916
2019/11/14 13:31:07.835,56234.13251903491,18.81435725,-15.17097473
2019/11/14 13:31:07.989,63095.73444801943,18.63696091,-13.73317296
2019/11/14 13:31:08.134,70794.57843841374,18.49077497,-12.42158452
2019/11/14 13:31:08.283,79432.82347242821,18.36271135,-11.22590906
2019/11/14 13:31:08.439,89125.0938133746,18.26262002,-10.15117542
2019/11/14 13:31:08.581,100000.0,18.17678393,-9.165380011
2019/11/14 13:31:08.717,112201.84543019652,18.10765871,-8.281891996
