Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.08E+01,1.44E+01,2.52E+01,34.7
8.25E+05,2.00E+01,1.20E+01,2.34E+01,30.9
6.82E+05,2.03E+01,8.47E+00,2.20E+01,22.7
5.63E+05,1.96E+01,7.03E+00,2.09E+01,19.7
4.64E+05,1.95E+01,5.37E+00,2.02E+01,15.4
3.83E+05,1.92E+01,4.37E+00,1.97E+01,12.8
3.16E+05,1.91E+01,3.17E+00,1.93E+01,9.4
2.61E+05,1.89E+01,2.12E+00,1.91E+01,6.4
2.16E+05,1.89E+01,1.08E+00,1.90E+01,3.3
1.78E+05,1.90E+01,1.95E-01,1.90E+01,0.6
1.47E+05,1.91E+01,-6.99E-01,1.91E+01,-2.1
1.21E+05,1.92E+01,-1.63E+00,1.93E+01,-4.8
9.96E+04,1.94E+01,-2.59E+00,1.95E+01,-7.6
8.25E+04,1.95E+01,-3.58E+00,1.98E+01,-10.4
6.81E+04,1.96E+01,-4.62E+00,2.01E+01,-13.3
5.62E+04,1.98E+01,-5.75E+00,2.07E+01,-16.2
4.64E+04,2.02E+01,-7.02E+00,2.14E+01,-19.2
3.83E+04,2.06E+01,-8.46E+00,2.23E+01,-22.3
3.17E+04,2.11E+01,-1.01E+01,2.34E+01,-25.6
2.61E+04,2.16E+01,-1.20E+01,2.47E+01,-29
2.15E+04,2.22E+01,-1.39E+01,2.62E+01,-32
1.78E+04,2.29E+01,-1.60E+01,2.79E+01,-35
1.47E+04,2.37E+01,-1.87E+01,3.02E+01,-38.4
1.22E+04,2.46E+01,-2.21E+01,3.30E+01,-41.9
1.00E+04,2.56E+01,-2.61E+01,3.65E+01,-45.6
8.30E+03,2.68E+01,-3.08E+01,4.08E+01,-49
6.84E+03,2.82E+01,-3.64E+01,4.60E+01,-52.2
5.62E+03,2.98E+01,-4.29E+01,5.22E+01,-55.2
4.64E+03,3.15E+01,-5.02E+01,5.92E+01,-57.9
3.91E+03,3.35E+01,-5.87E+01,6.76E+01,-60.3
3.17E+03,3.58E+01,-6.87E+01,7.75E+01,-62.5
2.69E+03,3.85E+01,-8.03E+01,8.91E+01,-64.4
2.20E+03,4.18E+01,-9.59E+01,1.05E+02,-66.5
1.71E+03,4.54E+01,-1.14E+02,1.23E+02,-68.3
1.47E+03,4.91E+01,-1.34E+02,1.42E+02,-69.8
1.22E+03,5.32E+01,-1.58E+02,1.67E+02,-71.4
9.77E+02,5.76E+01,-1.87E+02,1.95E+02,-72.8
8.25E+02,6.24E+01,-2.20E+02,2.28E+02,-74.2
6.84E+02,6.76E+01,-2.60E+02,2.69E+02,-75.4
5.62E+02,7.37E+01,-3.09E+02,3.18E+02,-76.6
4.64E+02,8.10E+01,-3.69E+02,3.78E+02,-77.6
3.81E+02,8.95E+01,-4.39E+02,4.48E+02,-78.5
3.17E+02,9.96E+01,-5.25E+02,5.34E+02,-79.3
2.59E+02,1.12E+02,-6.27E+02,6.37E+02,-79.9
2.15E+02,1.27E+02,-7.51E+02,7.61E+02,-80.4
1.76E+02,1.45E+02,-8.96E+02,9.08E+02,-80.8
1.47E+02,1.66E+02,-1.07E+03,1.08E+03,-81.2
1.22E+02,1.91E+02,-1.28E+03,1.29E+03,-81.5
9.77E+01,2.21E+02,-1.52E+03,1.54E+03,-81.7
8.25E+01,2.56E+02,-1.81E+03,1.83E+03,-82
6.81E+01,2.98E+02,-2.16E+03,2.18E+03,-82.1
5.62E+01,3.49E+02,-2.57E+03,2.59E+03,-82.3
4.64E+01,4.11E+02,-3.06E+03,3.09E+03,-82.4
3.83E+01,4.86E+02,-3.66E+03,3.69E+03,-82.4
3.16E+01,5.76E+02,-4.37E+03,4.41E+03,-82.5
2.61E+01,6.82E+02,-5.21E+03,5.26E+03,-82.5
2.15E+01,8.08E+02,-6.22E+03,6.27E+03,-82.6
1.78E+01,9.55E+02,-7.42E+03,7.48E+03,-82.7
1.47E+01,1.13E+03,-8.85E+03,8.93E+03,-82.7
1.21E+01,1.34E+03,-1.06E+04,1.07E+04,-82.8
1.00E+01,1.59E+03,-1.26E+04,1.27E+04,-82.8
8.25E+00,1.89E+03,-1.51E+04,1.52E+04,-82.9
6.81E+00,2.24E+03,-1.80E+04,1.82E+04,-82.9
5.62E+00,2.68E+03,-2.15E+04,2.17E+04,-82.9
4.64E+00,3.22E+03,-2.57E+04,2.59E+04,-82.9
3.83E+00,3.87E+03,-3.07E+04,3.09E+04,-82.8
3.16E+00,4.63E+03,-3.67E+04,3.70E+04,-82.8
2.61E+00,5.53E+03,-4.40E+04,4.43E+04,-82.8
2.15E+00,6.48E+03,-5.27E+04,5.31E+04,-83
1.78E+00,7.57E+03,-6.31E+04,6.35E+04,-83.2
1.47E+00,9.04E+03,-7.53E+04,7.58E+04,-83.1
1.21E+00,1.10E+04,-8.96E+04,9.03E+04,-83
1.00E+00,1.34E+04,-1.06E+05,1.07E+05,-82.8
