time,freq,imp,phase
2019/11/14 14:06:36.352,20.0,10790.20801,-84.46396693
2019/11/14 14:06:37.739,30.0,7350.551276,-84.89463763
2019/11/14 14:06:39.176,40.0,5602.911667,-85.18596433
2019/11/14 14:06:40.160,50.0,4517.539824,-85.2596497
2019/11/14 14:06:41.024,60.0,3792.609978,-85.28962569
2019/11/14 14:06:41.830,70.0,3274.837316,-85.39065564
2019/11/14 14:06:42.571,80.0,2880.158269,-85.42190637
2019/11/14 14:06:43.199,90.0,2572.081612,-85.44167831
2019/11/14 14:06:43.992,100.0,2325.175453,-85.4266816
2019/11/14 14:06:44.457,112.2018454301963,2082.836988,-85.35166896
2019/11/14 14:06:44.915,125.89254117941675,1862.171567,-85.31516934
2019/11/14 14:06:45.322,141.2537544622754,1666.704524,-85.26713971
2019/11/14 14:06:45.684,158.48931924611142,1492.137759,-85.18040601
2019/11/14 14:06:46.050,177.82794100389228,1335.789164,-85.04596243
2019/11/14 14:06:46.405,199.52623149688787,1195.70105,-84.90411998
2019/11/14 14:06:46.738,223.872113856834,1070.323263,-84.75039913
2019/11/14 14:06:47.061,251.18864315095797,958.1146789,-84.55818212
2019/11/14 14:06:47.374,281.8382931264455,857.9284318,-84.31327107
2019/11/14 14:06:47.702,316.22776601683796,768.242305,-84.06167617
2019/11/14 14:06:47.991,354.8133892335753,687.8892396,-83.75523007
2019/11/14 14:06:48.271,398.1071705534973,616.2869789,-83.41132729
2019/11/14 14:06:48.551,446.683592150963,552.1733872,-83.02925482
2019/11/14 14:06:48.814,501.18723362727246,494.9623992,-82.5975948
2019/11/14 14:06:49.088,562.341325190349,443.9868209,-82.11953805
2019/11/14 14:06:49.347,630.957344480193,398.3889098,-81.572661
2019/11/14 14:06:49.607,707.945784384138,357.7647241,-81.01103859
2019/11/14 14:06:49.844,794.3282347242813,321.6737098,-80.38746518
2019/11/14 14:06:50.090,891.2509381337459,289.4088874,-79.71192039
2019/11/14 14:06:50.329,1000.0,260.6585803,-78.98634847
2019/11/14 14:06:50.544,1122.018454301963,235.0393345,-78.22911027
2019/11/14 14:06:50.735,1258.9254117941675,212.2247271,-77.42045025
2019/11/14 14:06:50.933,1412.5375446227554,191.8136272,-76.60824696
2019/11/14 14:06:51.100,1584.893192461114,173.6759285,-75.76318257
2019/11/14 14:06:51.285,1778.2794100389228,157.4359885,-74.90882661
2019/11/14 14:06:51.456,1995.2623149688789,142.8914278,-74.05013968
2019/11/14 14:06:51.622,2238.72113856834,129.7275938,-73.18249761
2019/11/14 14:06:51.791,2511.886431509582,117.9465147,-72.31289197
2019/11/14 14:06:51.957,2818.382931264455,107.30209,-71.42366997
2019/11/14 14:06:52.123,3162.2776601683795,97.64432293,-70.52592726
2019/11/14 14:06:52.291,3548.133892335753,88.89439019,-69.57282673
2019/11/14 14:06:52.454,3981.0717055349733,80.96490711,-68.56471973
2019/11/14 14:06:52.620,4466.835921509635,73.7659998,-67.48206352
2019/11/14 14:06:52.789,5011.872336272725,67.26301079,-66.31780066
2019/11/14 14:06:52.958,5623.413251903491,61.38835261,-65.04301903
2019/11/14 14:06:53.122,6309.57344480193,56.08811168,-63.64517372
2019/11/14 14:06:53.289,7079.457843841381,51.3276449,-62.13820473
2019/11/14 14:06:53.453,7943.282347242822,47.05585457,-60.49603983
2019/11/14 14:06:53.620,8912.509381337459,43.22509753,-58.71960882
2019/11/14 14:06:53.773,10000.0,39.82383981,-56.80855226
2019/11/14 14:06:53.944,11220.184543019654,36.78562004,-54.7722547
2019/11/14 14:06:54.090,12589.254117941662,34.08965079,-52.61261377
2019/11/14 14:06:54.239,14125.375446227554,31.70353744,-50.33157258
2019/11/14 14:06:54.392,15848.93192461114,29.59848749,-47.96955298
2019/11/14 14:06:54.537,17782.794100389227,27.75779404,-45.50437392
2019/11/14 14:06:54.690,19952.62314968883,26.1391303,-42.9712212
2019/11/14 14:06:54.842,22387.21138568338,24.72705438,-40.39408538
2019/11/14 14:06:54.988,25118.864315095823,23.51066916,-37.77750721
2019/11/14 14:06:55.138,28183.82931264455,22.46788995,-35.16987118
2019/11/14 14:06:55.292,31622.776601683792,21.57968811,-32.59594584
2019/11/14 14:06:55.441,35481.3389233576,20.81890191,-30.08058167
2019/11/14 14:06:55.589,39810.71705534969,20.1769693,-27.64865396
2019/11/14 14:06:55.742,44668.359215096345,19.63663177,-25.30624335
2019/11/14 14:06:55.889,50118.72336272725,19.18739264,-23.09666706
2019/11/14 14:06:56.038,56234.13251903491,18.81703246,-21.02909812
2019/11/14 14:06:56.192,63095.73444801943,18.50382084,-19.07092405
2019/11/14 14:06:56.337,70794.57843841374,18.24819475,-17.27019015
2019/11/14 14:06:56.485,79432.82347242821,18.03298483,-15.6187233
2019/11/14 14:06:56.662,89125.0938133746,17.85959314,-14.09492637
2019/11/14 14:06:56.801,100000.0,17.71423005,-12.70391665
2019/11/14 14:06:56.937,112201.84543019652,17.60025068,-11.45005232
2019/11/14 14:06:57.106,125892.54117941661,17.50502696,-10.29731843
2019/11/14 14:06:57.253,141253.75446227554,17.4256714,-9.264185242
2019/11/14 14:06:57.402,158489.3192461114,17.35982263,-8.357029384
2019/11/14 14:06:57.558,177827.94100389228,17.30656203,-7.524948963
2019/11/14 14:06:57.701,199526.2314968883,17.2616772,-6.774605647
2019/11/14 14:06:57.837,223872.11385683378,17.22675619,-6.107109954
2019/11/14 14:06:58.006,251188.6431509582,17.19916937,-5.519255188
2019/11/14 14:06:58.153,281838.2931264455,17.17209596,-4.993067668
2019/11/14 14:06:58.302,316227.7660168379,17.15542008,-4.523675489
2019/11/14 14:06:58.483,354813.389233576,17.13911463,-4.127319572
2019/11/14 14:06:58.622,398107.1705534969,17.12034744,-3.748170032
2019/11/14 14:06:58.770,446683.5921509635,17.11490979,-3.431151141
2019/11/14 14:06:58.925,501187.2336272725,17.10880673,-3.148400695
2019/11/14 14:06:59.070,562341.3251903491,17.09730012,-2.918047449
2019/11/14 14:06:59.219,630957.3444801943,17.09125614,-2.730379905
2019/11/14 14:06:59.375,707945.7843841374,17.09019503,-2.552412994
2019/11/14 14:06:59.517,794328.2347242822,17.09275718,-2.427487852
2019/11/14 14:06:59.654,891250.9381337459,17.09329833,-2.326070195
2019/11/14 14:06:59.822,1000000.0,17.09374157,-2.241386632
