Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.17E+01,1.32E+01,2.54E+01,31.3
8.25E+05,2.02E+01,1.16E+01,2.33E+01,30
6.82E+05,2.01E+01,8.51E+00,2.18E+01,22.9
5.63E+05,1.94E+01,7.11E+00,2.07E+01,20.1
4.64E+05,1.93E+01,5.36E+00,2.00E+01,15.5
3.83E+05,1.90E+01,4.28E+00,1.95E+01,12.7
3.16E+05,1.89E+01,3.08E+00,1.92E+01,9.2
2.61E+05,1.88E+01,2.07E+00,1.89E+01,6.3
2.16E+05,1.88E+01,1.06E+00,1.88E+01,3.2
1.78E+05,1.88E+01,1.41E-01,1.88E+01,0.4
1.47E+05,1.89E+01,-7.68E-01,1.89E+01,-2.3
1.21E+05,1.90E+01,-1.64E+00,1.90E+01,-4.9
9.96E+04,1.91E+01,-2.53E+00,1.93E+01,-7.6
8.25E+04,1.93E+01,-3.47E+00,1.96E+01,-10.2
6.81E+04,1.95E+01,-4.47E+00,2.00E+01,-12.9
5.62E+04,1.98E+01,-5.57E+00,2.05E+01,-15.7
4.64E+04,2.01E+01,-6.82E+00,2.12E+01,-18.8
3.83E+04,2.04E+01,-8.22E+00,2.20E+01,-21.9
3.17E+04,2.09E+01,-9.85E+00,2.31E+01,-25.3
2.61E+04,2.14E+01,-1.18E+01,2.44E+01,-28.8
2.15E+04,2.20E+01,-1.37E+01,2.59E+01,-31.9
1.78E+04,2.27E+01,-1.59E+01,2.77E+01,-35
1.47E+04,2.34E+01,-1.86E+01,2.99E+01,-38.5
1.22E+04,2.43E+01,-2.20E+01,3.28E+01,-42.1
1.00E+04,2.53E+01,-2.60E+01,3.63E+01,-45.8
8.30E+03,2.64E+01,-3.07E+01,4.05E+01,-49.3
6.84E+03,2.77E+01,-3.63E+01,4.56E+01,-52.6
5.62E+03,2.92E+01,-4.28E+01,5.18E+01,-55.7
4.64E+03,3.10E+01,-5.02E+01,5.90E+01,-58.3
3.91E+03,3.31E+01,-5.90E+01,6.77E+01,-60.7
3.17E+03,3.55E+01,-6.92E+01,7.78E+01,-62.9
2.69E+03,3.82E+01,-8.10E+01,8.95E+01,-64.8
2.20E+03,4.15E+01,-9.65E+01,1.05E+02,-66.7
1.71E+03,4.52E+01,-1.15E+02,1.24E+02,-68.5
1.47E+03,4.89E+01,-1.35E+02,1.43E+02,-70.1
1.22E+03,5.31E+01,-1.59E+02,1.68E+02,-71.6
9.77E+02,5.77E+01,-1.89E+02,1.98E+02,-73
8.25E+02,6.27E+01,-2.24E+02,2.33E+02,-74.3
6.84E+02,6.81E+01,-2.65E+02,2.73E+02,-75.6
5.62E+02,7.41E+01,-3.14E+02,3.23E+02,-76.7
4.64E+02,8.12E+01,-3.74E+02,3.83E+02,-77.7
3.81E+02,9.00E+01,-4.47E+02,4.56E+02,-78.6
3.17E+02,1.00E+02,-5.33E+02,5.43E+02,-79.3
2.59E+02,1.13E+02,-6.35E+02,6.45E+02,-80
2.15E+02,1.27E+02,-7.60E+02,7.70E+02,-80.5
1.76E+02,1.45E+02,-9.07E+02,9.18E+02,-80.9
1.47E+02,1.65E+02,-1.08E+03,1.09E+03,-81.3
1.22E+02,1.91E+02,-1.29E+03,1.30E+03,-81.6
9.77E+01,2.22E+02,-1.54E+03,1.56E+03,-81.8
8.25E+01,2.57E+02,-1.83E+03,1.85E+03,-82
6.81E+01,2.99E+02,-2.18E+03,2.20E+03,-82.2
5.62E+01,3.49E+02,-2.59E+03,2.61E+03,-82.3
4.64E+01,4.11E+02,-3.09E+03,3.12E+03,-82.4
3.83E+01,4.86E+02,-3.69E+03,3.72E+03,-82.5
3.16E+01,5.77E+02,-4.41E+03,4.44E+03,-82.5
2.61E+01,6.84E+02,-5.26E+03,5.30E+03,-82.6
2.15E+01,8.12E+02,-6.29E+03,6.34E+03,-82.6
1.78E+01,9.63E+02,-7.52E+03,7.58E+03,-82.7
1.47E+01,1.14E+03,-8.97E+03,9.04E+03,-82.8
1.21E+01,1.35E+03,-1.07E+04,1.08E+04,-82.8
1.00E+01,1.60E+03,-1.28E+04,1.29E+04,-82.9
8.25E+00,1.90E+03,-1.53E+04,1.54E+04,-82.9
6.81E+00,2.26E+03,-1.83E+04,1.84E+04,-82.9
5.62E+00,2.71E+03,-2.18E+04,2.19E+04,-82.9
4.64E+00,3.25E+03,-2.60E+04,2.62E+04,-82.9
3.83E+00,3.90E+03,-3.11E+04,3.14E+04,-82.9
3.16E+00,4.65E+03,-3.72E+04,3.74E+04,-82.9
2.61E+00,5.55E+03,-4.44E+04,4.48E+04,-82.9
2.15E+00,6.52E+03,-5.33E+04,5.37E+04,-83
1.78E+00,7.60E+03,-6.38E+04,6.42E+04,-83.2
1.47E+00,9.05E+03,-7.60E+04,7.65E+04,-83.2
1.21E+00,1.10E+04,-9.06E+04,9.12E+04,-83.1
1.00E+00,1.35E+04,-1.08E+05,1.09E+05,-82.9
