Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.10E+01,1.42E+01,2.53E+01,33.9
8.25E+05,1.99E+01,1.21E+01,2.33E+01,31.2
6.82E+05,2.00E+01,8.65E+00,2.18E+01,23.4
5.63E+05,1.94E+01,7.19E+00,2.07E+01,20.3
4.64E+05,1.93E+01,5.47E+00,2.01E+01,15.8
3.83E+05,1.90E+01,4.44E+00,1.95E+01,13.1
3.16E+05,1.89E+01,3.29E+00,1.92E+01,9.9
2.61E+05,1.88E+01,2.28E+00,1.89E+01,6.9
2.16E+05,1.88E+01,1.29E+00,1.88E+01,3.9
1.78E+05,1.88E+01,4.16E-01,1.88E+01,1.3
1.47E+05,1.88E+01,-4.15E-01,1.88E+01,-1.3
1.21E+05,1.89E+01,-1.20E+00,1.89E+01,-3.6
9.96E+04,1.91E+01,-2.06E+00,1.92E+01,-6.2
8.25E+04,1.93E+01,-2.95E+00,1.95E+01,-8.7
6.81E+04,1.94E+01,-3.89E+00,1.98E+01,-11.3
5.62E+04,1.95E+01,-4.92E+00,2.01E+01,-14.2
4.64E+04,1.96E+01,-6.09E+00,2.06E+01,-17.3
3.83E+04,1.98E+01,-7.44E+00,2.12E+01,-20.6
3.17E+04,2.01E+01,-9.01E+00,2.20E+01,-24.2
2.61E+04,2.04E+01,-1.09E+01,2.31E+01,-28
2.15E+04,2.08E+01,-1.30E+01,2.45E+01,-32.1
1.78E+04,2.13E+01,-1.54E+01,2.63E+01,-35.9
1.47E+04,2.19E+01,-1.81E+01,2.84E+01,-39.6
1.22E+04,2.26E+01,-2.15E+01,3.11E+01,-43.5
1.00E+04,2.34E+01,-2.55E+01,3.46E+01,-47.5
8.30E+03,2.43E+01,-3.04E+01,3.89E+01,-51.3
6.84E+03,2.55E+01,-3.62E+01,4.43E+01,-54.8
5.62E+03,2.70E+01,-4.30E+01,5.08E+01,-57.9
4.64E+03,2.87E+01,-5.06E+01,5.82E+01,-60.4
3.91E+03,3.08E+01,-5.98E+01,6.73E+01,-62.7
3.17E+03,3.32E+01,-7.02E+01,7.77E+01,-64.7
2.69E+03,3.59E+01,-8.21E+01,8.96E+01,-66.4
2.20E+03,3.93E+01,-9.80E+01,1.06E+02,-68.1
1.71E+03,4.32E+01,-1.17E+02,1.24E+02,-69.7
1.47E+03,4.73E+01,-1.37E+02,1.45E+02,-71
1.22E+03,5.18E+01,-1.62E+02,1.70E+02,-72.3
9.77E+02,5.63E+01,-1.91E+02,1.99E+02,-73.6
8.25E+02,6.10E+01,-2.24E+02,2.33E+02,-74.8
6.84E+02,6.63E+01,-2.65E+02,2.73E+02,-76
5.62E+02,7.24E+01,-3.15E+02,3.23E+02,-77.1
4.64E+02,7.98E+01,-3.76E+02,3.85E+02,-78
3.81E+02,8.84E+01,-4.50E+02,4.58E+02,-78.9
3.17E+02,9.87E+01,-5.38E+02,5.47E+02,-79.6
2.59E+02,1.11E+02,-6.44E+02,6.53E+02,-80.2
2.15E+02,1.26E+02,-7.72E+02,7.83E+02,-80.7
1.76E+02,1.44E+02,-9.23E+02,9.34E+02,-81.1
1.47E+02,1.64E+02,-1.09E+03,1.11E+03,-81.5
1.22E+02,1.90E+02,-1.31E+03,1.32E+03,-81.8
9.77E+01,2.20E+02,-1.57E+03,1.58E+03,-82
8.25E+01,2.54E+02,-1.86E+03,1.88E+03,-82.2
6.81E+01,2.96E+02,-2.22E+03,2.23E+03,-82.4
5.62E+01,3.47E+02,-2.64E+03,2.67E+03,-82.5
4.64E+01,4.09E+02,-3.16E+03,3.18E+03,-82.6
3.83E+01,4.85E+02,-3.77E+03,3.80E+03,-82.7
3.16E+01,5.76E+02,-4.51E+03,4.55E+03,-82.7
2.61E+01,6.85E+02,-5.39E+03,5.43E+03,-82.7
2.15E+01,8.15E+02,-6.43E+03,6.48E+03,-82.8
1.78E+01,9.70E+02,-7.69E+03,7.75E+03,-82.8
1.47E+01,1.15E+03,-9.19E+03,9.26E+03,-82.9
1.21E+01,1.37E+03,-1.10E+04,1.11E+04,-82.9
1.00E+01,1.63E+03,-1.32E+04,1.33E+04,-82.9
8.25E+00,1.94E+03,-1.57E+04,1.58E+04,-83
6.81E+00,2.29E+03,-1.87E+04,1.88E+04,-83
5.62E+00,2.73E+03,-2.22E+04,2.24E+04,-83
4.64E+00,3.27E+03,-2.65E+04,2.67E+04,-83
3.83E+00,3.92E+03,-3.17E+04,3.20E+04,-82.9
3.16E+00,4.68E+03,-3.80E+04,3.82E+04,-83
2.61E+00,5.60E+03,-4.54E+04,4.57E+04,-83
2.15E+00,6.59E+03,-5.46E+04,5.50E+04,-83.1
1.78E+00,7.72E+03,-6.56E+04,6.61E+04,-83.3
1.47E+00,9.22E+03,-7.83E+04,7.88E+04,-83.3
1.21E+00,1.12E+04,-9.29E+04,9.36E+04,-83.1
1.00E+00,1.36E+04,-1.10E+05,1.10E+05,-82.9
