Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.08E+01,1.42E+01,2.52E+01,34.3
8.25E+05,1.96E+01,1.23E+01,2.32E+01,32.1
6.82E+05,1.98E+01,9.09E+00,2.18E+01,24.6
5.63E+05,1.94E+01,7.40E+00,2.07E+01,20.9
4.64E+05,1.93E+01,5.54E+00,2.01E+01,16
3.83E+05,1.90E+01,4.34E+00,1.95E+01,12.9
3.16E+05,1.89E+01,3.14E+00,1.91E+01,9.5
2.61E+05,1.87E+01,2.20E+00,1.89E+01,6.7
2.16E+05,1.87E+01,1.29E+00,1.88E+01,3.9
1.78E+05,1.87E+01,4.71E-01,1.87E+01,1.4
1.47E+05,1.88E+01,-3.75E-01,1.88E+01,-1.1
1.21E+05,1.88E+01,-1.24E+00,1.89E+01,-3.8
9.96E+04,1.89E+01,-2.13E+00,1.91E+01,-6.4
8.25E+04,1.91E+01,-3.04E+00,1.93E+01,-9.1
6.81E+04,1.92E+01,-3.99E+00,1.96E+01,-11.7
5.62E+04,1.94E+01,-5.04E+00,2.01E+01,-14.5
4.64E+04,1.97E+01,-6.23E+00,2.06E+01,-17.6
3.83E+04,2.00E+01,-7.60E+00,2.14E+01,-20.8
3.17E+04,2.03E+01,-9.19E+00,2.23E+01,-24.4
2.61E+04,2.06E+01,-1.10E+01,2.34E+01,-28.1
2.15E+04,2.11E+01,-1.32E+01,2.49E+01,-32.1
1.78E+04,2.16E+01,-1.55E+01,2.66E+01,-35.7
1.47E+04,2.22E+01,-1.81E+01,2.87E+01,-39.3
1.22E+04,2.29E+01,-2.14E+01,3.13E+01,-43.1
1.00E+04,2.37E+01,-2.54E+01,3.48E+01,-47
8.30E+03,2.47E+01,-3.02E+01,3.90E+01,-50.7
6.84E+03,2.60E+01,-3.59E+01,4.44E+01,-54.1
5.62E+03,2.76E+01,-4.27E+01,5.08E+01,-57.1
4.64E+03,2.94E+01,-5.03E+01,5.83E+01,-59.7
3.91E+03,3.15E+01,-5.92E+01,6.71E+01,-62
3.17E+03,3.38E+01,-6.93E+01,7.71E+01,-64
2.69E+03,3.64E+01,-8.12E+01,8.90E+01,-65.8
2.20E+03,3.98E+01,-9.69E+01,1.05E+02,-67.7
1.71E+03,4.36E+01,-1.15E+02,1.23E+02,-69.3
1.47E+03,4.74E+01,-1.36E+02,1.44E+02,-70.7
1.22E+03,5.18E+01,-1.61E+02,1.69E+02,-72.1
9.77E+02,5.63E+01,-1.90E+02,1.98E+02,-73.5
8.25E+02,6.11E+01,-2.24E+02,2.32E+02,-74.7
6.84E+02,6.65E+01,-2.66E+02,2.74E+02,-75.9
5.62E+02,7.27E+01,-3.16E+02,3.24E+02,-77
4.64E+02,7.97E+01,-3.76E+02,3.84E+02,-78
3.81E+02,8.82E+01,-4.48E+02,4.57E+02,-78.9
3.17E+02,9.84E+01,-5.36E+02,5.45E+02,-79.6
2.59E+02,1.11E+02,-6.39E+02,6.49E+02,-80.2
2.15E+02,1.25E+02,-7.65E+02,7.75E+02,-80.7
1.76E+02,1.43E+02,-9.14E+02,9.25E+02,-81.1
1.47E+02,1.63E+02,-1.08E+03,1.10E+03,-81.4
1.22E+02,1.88E+02,-1.29E+03,1.31E+03,-81.7
9.77E+01,2.19E+02,-1.55E+03,1.56E+03,-82
8.25E+01,2.54E+02,-1.84E+03,1.86E+03,-82.2
6.81E+01,2.96E+02,-2.19E+03,2.21E+03,-82.3
5.62E+01,3.46E+02,-2.61E+03,2.63E+03,-82.5
4.64E+01,4.07E+02,-3.11E+03,3.14E+03,-82.5
3.83E+01,4.83E+02,-3.73E+03,3.76E+03,-82.6
3.16E+01,5.76E+02,-4.46E+03,4.50E+03,-82.7
2.61E+01,6.86E+02,-5.35E+03,5.39E+03,-82.7
2.15E+01,8.14E+02,-6.38E+03,6.43E+03,-82.7
1.78E+01,9.63E+02,-7.62E+03,7.68E+03,-82.8
1.47E+01,1.14E+03,-9.09E+03,9.16E+03,-82.9
1.21E+01,1.35E+03,-1.09E+04,1.09E+04,-82.9
1.00E+01,1.61E+03,-1.30E+04,1.31E+04,-82.9
8.25E+00,1.91E+03,-1.54E+04,1.56E+04,-82.9
6.81E+00,2.27E+03,-1.84E+04,1.86E+04,-83
5.62E+00,2.72E+03,-2.20E+04,2.21E+04,-82.9
4.64E+00,3.27E+03,-2.62E+04,2.64E+04,-82.9
3.83E+00,3.92E+03,-3.12E+04,3.15E+04,-82.9
3.16E+00,4.66E+03,-3.74E+04,3.77E+04,-82.9
2.61E+00,5.55E+03,-4.47E+04,4.50E+04,-82.9
2.15E+00,6.51E+03,-5.36E+04,5.40E+04,-83.1
1.78E+00,7.63E+03,-6.42E+04,6.47E+04,-83.2
1.47E+00,9.13E+03,-7.67E+04,7.72E+04,-83.2
1.21E+00,1.11E+04,-9.13E+04,9.19E+04,-83.1
1.00E+00,1.35E+04,-1.08E+05,1.09E+05,-82.9
