Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.07E+01,1.46E+01,2.53E+01,35.1
8.25E+05,2.01E+01,1.19E+01,2.33E+01,30.7
6.82E+05,1.99E+01,9.04E+00,2.19E+01,24.4
5.63E+05,1.95E+01,7.18E+00,2.08E+01,20.2
4.64E+05,1.93E+01,5.53E+00,2.00E+01,16
3.83E+05,1.90E+01,4.32E+00,1.95E+01,12.8
3.16E+05,1.89E+01,3.22E+00,1.92E+01,9.7
2.61E+05,1.88E+01,2.27E+00,1.89E+01,6.9
2.16E+05,1.88E+01,1.36E+00,1.88E+01,4.1
1.78E+05,1.88E+01,4.84E-01,1.88E+01,1.5
1.47E+05,1.88E+01,-3.59E-01,1.89E+01,-1.1
1.21E+05,1.89E+01,-1.20E+00,1.90E+01,-3.6
9.96E+04,1.90E+01,-2.04E+00,1.91E+01,-6.1
8.25E+04,1.91E+01,-2.92E+00,1.94E+01,-8.7
6.81E+04,1.93E+01,-3.90E+00,1.97E+01,-11.4
5.62E+04,1.94E+01,-4.98E+00,2.01E+01,-14.4
4.64E+04,1.96E+01,-6.17E+00,2.06E+01,-17.5
3.83E+04,1.99E+01,-7.53E+00,2.12E+01,-20.8
3.17E+04,2.02E+01,-9.11E+00,2.21E+01,-24.3
2.61E+04,2.05E+01,-1.10E+01,2.33E+01,-28.2
2.15E+04,2.09E+01,-1.32E+01,2.47E+01,-32.2
1.78E+04,2.14E+01,-1.55E+01,2.64E+01,-36
1.47E+04,2.20E+01,-1.82E+01,2.85E+01,-39.7
1.22E+04,2.27E+01,-2.16E+01,3.13E+01,-43.6
1.00E+04,2.35E+01,-2.57E+01,3.48E+01,-47.6
8.30E+03,2.44E+01,-3.06E+01,3.91E+01,-51.4
6.84E+03,2.56E+01,-3.64E+01,4.45E+01,-54.8
5.62E+03,2.71E+01,-4.32E+01,5.10E+01,-57.9
4.64E+03,2.88E+01,-5.09E+01,5.85E+01,-60.5
3.91E+03,3.09E+01,-5.99E+01,6.74E+01,-62.7
3.17E+03,3.33E+01,-7.04E+01,7.79E+01,-64.7
2.69E+03,3.61E+01,-8.27E+01,9.02E+01,-66.4
2.20E+03,3.96E+01,-9.88E+01,1.07E+02,-68.1
1.71E+03,4.34E+01,-1.17E+02,1.25E+02,-69.7
1.47E+03,4.73E+01,-1.38E+02,1.46E+02,-71
1.22E+03,5.17E+01,-1.63E+02,1.71E+02,-72.4
9.77E+02,5.63E+01,-1.92E+02,2.00E+02,-73.6
8.25E+02,6.11E+01,-2.26E+02,2.34E+02,-74.8
6.84E+02,6.66E+01,-2.67E+02,2.75E+02,-76
5.62E+02,7.28E+01,-3.18E+02,3.26E+02,-77.1
4.64E+02,8.00E+01,-3.79E+02,3.87E+02,-78.1
3.81E+02,8.83E+01,-4.51E+02,4.60E+02,-78.9
3.17E+02,9.84E+01,-5.39E+02,5.48E+02,-79.6
2.59E+02,1.11E+02,-6.44E+02,6.53E+02,-80.3
2.15E+02,1.25E+02,-7.71E+02,7.81E+02,-80.8
1.76E+02,1.43E+02,-9.22E+02,9.33E+02,-81.2
1.47E+02,1.64E+02,-1.10E+03,1.11E+03,-81.5
1.22E+02,1.90E+02,-1.31E+03,1.33E+03,-81.8
9.77E+01,2.19E+02,-1.57E+03,1.58E+03,-82
8.25E+01,2.53E+02,-1.86E+03,1.88E+03,-82.3
6.81E+01,2.94E+02,-2.22E+03,2.24E+03,-82.4
5.62E+01,3.44E+02,-2.64E+03,2.67E+03,-82.6
4.64E+01,4.06E+02,-3.16E+03,3.18E+03,-82.7
3.83E+01,4.81E+02,-3.78E+03,3.81E+03,-82.7
3.16E+01,5.73E+02,-4.52E+03,4.55E+03,-82.8
2.61E+01,6.83E+02,-5.40E+03,5.44E+03,-82.8
2.15E+01,8.13E+02,-6.45E+03,6.50E+03,-82.8
1.78E+01,9.68E+02,-7.69E+03,7.75E+03,-82.8
1.47E+01,1.15E+03,-9.19E+03,9.27E+03,-82.9
1.21E+01,1.37E+03,-1.10E+04,1.11E+04,-82.9
1.00E+01,1.63E+03,-1.31E+04,1.32E+04,-82.9
8.25E+00,1.94E+03,-1.56E+04,1.58E+04,-82.9
6.81E+00,2.30E+03,-1.87E+04,1.88E+04,-83
5.62E+00,2.76E+03,-2.23E+04,2.25E+04,-82.9
4.64E+00,3.31E+03,-2.66E+04,2.68E+04,-82.9
3.83E+00,3.98E+03,-3.18E+04,3.20E+04,-82.9
3.16E+00,4.75E+03,-3.81E+04,3.84E+04,-82.9
2.61E+00,5.64E+03,-4.57E+04,4.60E+04,-83
2.15E+00,6.60E+03,-5.47E+04,5.51E+04,-83.1
1.78E+00,7.70E+03,-6.55E+04,6.60E+04,-83.3
1.47E+00,9.22E+03,-7.83E+04,7.88E+04,-83.3
1.21E+00,1.12E+04,-9.32E+04,9.38E+04,-83.1
1.00E+00,1.38E+04,-1.10E+05,1.11E+05,-82.9
