time,freq,imp,phase
2019/11/14 13:41:11.557,20.0,10592.33558,-81.78640265
2019/11/14 13:41:12.933,30.0,7302.656229,-82.52016068
2019/11/14 13:41:14.370,40.0,5589.089867,-82.88004284
2019/11/14 13:41:15.353,50.0,4544.447377,-83.30029005
2019/11/14 13:41:16.217,60.0,3837.65233,-83.53242585
2019/11/14 13:41:17.023,70.0,3313.882691,-83.65841419
2019/11/14 13:41:17.764,80.0,2923.211065,-83.76916303
2019/11/14 13:41:18.392,90.0,2615.586952,-83.87177552
2019/11/14 13:41:19.186,100.0,2366.24991,-83.89180788
2019/11/14 13:41:19.651,112.2018454301963,2121.569971,-83.98958194
2019/11/14 13:41:20.107,125.89254117941675,1902.457656,-84.02148934
2019/11/14 13:41:20.506,141.2537544622754,1706.122455,-84.03073735
2019/11/14 13:41:20.877,158.48931924611142,1529.085888,-83.98346367
2019/11/14 13:41:21.244,177.82794100389228,1370.922934,-83.92689487
2019/11/14 13:41:21.598,199.52623149688787,1228.777133,-83.85297728
2019/11/14 13:41:21.931,223.872113856834,1100.43308,-83.76214582
2019/11/14 13:41:22.254,251.18864315095797,986.3815827,-83.63278112
2019/11/14 13:41:22.566,281.8382931264455,883.9382644,-83.4568546
2019/11/14 13:41:22.894,316.22776601683796,792.2316666,-83.25191498
2019/11/14 13:41:23.184,354.8133892335753,710.152524,-83.00319267
2019/11/14 13:41:23.464,398.1071705534973,636.5641476,-82.7200239
2019/11/14 13:41:23.743,446.683592150963,570.732527,-82.37626147
2019/11/14 13:41:24.007,501.18723362727246,511.8741033,-81.98888549
2019/11/14 13:41:24.280,562.341325190349,459.4157428,-81.56818034
2019/11/14 13:41:24.539,630.957344480193,412.3153106,-81.09443046
2019/11/14 13:41:24.799,707.945784384138,370.58626,-80.51986697
2019/11/14 13:41:25.036,794.3282347242813,333.1864078,-79.94093209
2019/11/14 13:41:25.281,891.2509381337459,299.8414906,-79.30528489
2019/11/14 13:41:25.522,1000.0,270.079291,-78.61743738
2019/11/14 13:41:25.736,1122.018454301963,243.5650803,-77.88055755
2019/11/14 13:41:25.928,1258.9254117941675,219.9260784,-77.10421839
2019/11/14 13:41:26.127,1412.5375446227554,198.7557911,-76.28658067
2019/11/14 13:41:26.293,1584.893192461114,179.9942218,-75.45665939
2019/11/14 13:41:26.479,1778.2794100389228,163.1739841,-74.61019966
2019/11/14 13:41:26.649,1995.2623149688789,148.0369517,-73.73230712
2019/11/14 13:41:26.815,2238.72113856834,134.4509856,-72.84811658
2019/11/14 13:41:26.984,2511.886431509582,122.2472065,-71.95055734
2019/11/14 13:41:27.150,2818.382931264455,111.2379449,-71.03402817
2019/11/14 13:41:27.316,3162.2776601683795,101.2742372,-70.09887142
2019/11/14 13:41:27.485,3548.133892335753,92.2593453,-69.12439366
2019/11/14 13:41:27.647,3981.0717055349733,84.07953862,-68.09693164
2019/11/14 13:41:27.814,4466.835921509635,76.66862983,-66.99324061
2019/11/14 13:41:27.983,5011.872336272725,69.96472659,-65.80789723
2019/11/14 13:41:28.151,5623.413251903491,63.9046905,-64.52745272
2019/11/14 13:41:28.315,6309.57344480193,58.43281143,-63.1191788
2019/11/14 13:41:28.482,7079.457843841381,53.51269138,-61.60158507
2019/11/14 13:41:28.646,7943.282347242822,49.10567461,-59.95458053
2019/11/14 13:41:28.813,8912.509381337459,45.14321056,-58.1583709
2019/11/14 13:41:28.966,10000.0,41.61184625,-56.26628047
2019/11/14 13:41:29.138,11220.184543019654,38.47505147,-54.21033785
2019/11/14 13:41:29.283,12589.254117941662,35.6904463,-52.05766322
