Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.10E+01,1.42E+01,2.54E+01,34.2
8.25E+05,2.00E+01,1.20E+01,2.33E+01,30.9
6.82E+05,2.01E+01,8.75E+00,2.19E+01,23.6
5.63E+05,1.95E+01,7.08E+00,2.07E+01,20
4.64E+05,1.93E+01,5.35E+00,2.00E+01,15.5
3.83E+05,1.90E+01,4.16E+00,1.95E+01,12.3
3.16E+05,1.89E+01,3.00E+00,1.92E+01,9
2.61E+05,1.88E+01,2.02E+00,1.89E+01,6.1
2.16E+05,1.89E+01,1.03E+00,1.89E+01,3.1
1.78E+05,1.89E+01,1.04E-01,1.89E+01,0.3
1.47E+05,1.90E+01,-8.16E-01,1.90E+01,-2.5
1.21E+05,1.91E+01,-1.73E+00,1.92E+01,-5.2
9.96E+04,1.92E+01,-2.65E+00,1.94E+01,-7.8
8.25E+04,1.94E+01,-3.61E+00,1.98E+01,-10.5
6.81E+04,1.97E+01,-4.67E+00,2.02E+01,-13.4
5.62E+04,1.99E+01,-5.85E+00,2.08E+01,-16.4
4.64E+04,2.03E+01,-7.13E+00,2.15E+01,-19.4
3.83E+04,2.07E+01,-8.57E+00,2.24E+01,-22.5
3.17E+04,2.11E+01,-1.02E+01,2.35E+01,-25.8
2.61E+04,2.17E+01,-1.21E+01,2.49E+01,-29.2
2.15E+04,2.24E+01,-1.41E+01,2.64E+01,-32.2
1.78E+04,2.31E+01,-1.62E+01,2.83E+01,-35.1
1.47E+04,2.40E+01,-1.90E+01,3.06E+01,-38.3
1.22E+04,2.50E+01,-2.23E+01,3.35E+01,-41.8
1.00E+04,2.60E+01,-2.63E+01,3.70E+01,-45.3
8.30E+03,2.72E+01,-3.09E+01,4.12E+01,-48.7
6.84E+03,2.85E+01,-3.64E+01,4.62E+01,-51.9
5.62E+03,3.00E+01,-4.28E+01,5.23E+01,-54.9
4.64E+03,3.18E+01,-5.00E+01,5.93E+01,-57.6
3.91E+03,3.39E+01,-5.86E+01,6.77E+01,-60
3.17E+03,3.62E+01,-6.86E+01,7.76E+01,-62.2
2.69E+03,3.89E+01,-8.03E+01,8.93E+01,-64.1
2.20E+03,4.23E+01,-9.58E+01,1.05E+02,-66.2
1.71E+03,4.59E+01,-1.14E+02,1.23E+02,-68
1.47E+03,4.95E+01,-1.33E+02,1.42E+02,-69.6
1.22E+03,5.36E+01,-1.58E+02,1.66E+02,-71.2
9.77E+02,5.80E+01,-1.86E+02,1.95E+02,-72.7
8.25E+02,6.26E+01,-2.19E+02,2.28E+02,-74
6.84E+02,6.79E+01,-2.59E+02,2.68E+02,-75.3
5.62E+02,7.40E+01,-3.08E+02,3.17E+02,-76.5
4.64E+02,8.14E+01,-3.67E+02,3.76E+02,-77.5
3.81E+02,8.98E+01,-4.38E+02,4.47E+02,-78.4
3.17E+02,1.00E+02,-5.23E+02,5.32E+02,-79.2
2.59E+02,1.12E+02,-6.25E+02,6.35E+02,-79.8
2.15E+02,1.28E+02,-7.48E+02,7.59E+02,-80.3
1.76E+02,1.46E+02,-8.93E+02,9.04E+02,-80.7
1.47E+02,1.66E+02,-1.06E+03,1.07E+03,-81.1
1.22E+02,1.92E+02,-1.27E+03,1.28E+03,-81.4
9.77E+01,2.22E+02,-1.52E+03,1.53E+03,-81.7
8.25E+01,2.57E+02,-1.80E+03,1.82E+03,-81.9
6.81E+01,2.99E+02,-2.15E+03,2.17E+03,-82.1
5.62E+01,3.50E+02,-2.56E+03,2.58E+03,-82.2
4.64E+01,4.12E+02,-3.05E+03,3.08E+03,-82.3
3.83E+01,4.87E+02,-3.65E+03,3.68E+03,-82.4
3.16E+01,5.77E+02,-4.36E+03,4.39E+03,-82.5
2.61E+01,6.84E+02,-5.21E+03,5.25E+03,-82.5
2.15E+01,8.09E+02,-6.22E+03,6.27E+03,-82.6
1.78E+01,9.57E+02,-7.43E+03,7.50E+03,-82.7
1.47E+01,1.13E+03,-8.89E+03,8.96E+03,-82.7
1.21E+01,1.33E+03,-1.06E+04,1.07E+04,-82.8
1.00E+01,1.57E+03,-1.26E+04,1.27E+04,-82.9
8.25E+00,1.87E+03,-1.51E+04,1.52E+04,-82.9
6.81E+00,2.23E+03,-1.80E+04,1.81E+04,-82.9
5.62E+00,2.68E+03,-2.15E+04,2.16E+04,-82.9
4.64E+00,3.23E+03,-2.56E+04,2.58E+04,-82.8
3.83E+00,3.89E+03,-3.06E+04,3.09E+04,-82.8
3.16E+00,4.65E+03,-3.67E+04,3.70E+04,-82.8
2.61E+00,5.54E+03,-4.39E+04,4.43E+04,-82.8
2.15E+00,6.47E+03,-5.26E+04,5.30E+04,-83
1.78E+00,7.57E+03,-6.30E+04,6.34E+04,-83.1
1.47E+00,9.05E+03,-7.51E+04,7.57E+04,-83.1
1.21E+00,1.10E+04,-8.94E+04,9.00E+04,-83
1.00E+00,1.34E+04,-1.06E+05,1.07E+05,-82.8
