time,freq,imp,phase
2019/11/14 12:54:51.538,20.0,6940.024969,-85.26754143
2019/11/14 12:54:52.918,30.0,4715.539776,-85.33809982
2019/11/14 12:54:54.121,40.0,3580.546415,-85.35019095
2019/11/14 12:54:55.105,50.0,2895.789948,-85.25616817
2019/11/14 12:54:55.969,60.0,2436.096837,-85.12464021
2019/11/14 12:54:56.914,70.0,2098.478116,-85.09429675
2019/11/14 12:54:57.651,80.0,1847.626876,-84.98718977
2019/11/14 12:54:58.382,90.0,1649.704011,-84.8623148
2019/11/14 12:54:59.079,100.0,1490.411318,-84.72226308
2019/11/14 12:54:59.535,112.2018454301963,1335.674409,-84.62401778
2019/11/14 12:54:59.992,125.89254117941675,1196.125968,-84.42949094
2019/11/14 12:55:00.400,141.2537544622754,1071.507908,-84.21802045
2019/11/14 12:55:00.763,158.48931924611142,960.2257318,-83.97171115
2019/11/14 12:55:01.129,177.82794100389228,860.3807103,-83.72637285
2019/11/14 12:55:01.542,199.52623149688787,771.1323801,-83.39837121
2019/11/14 12:55:01.867,223.872113856834,690.8789748,-83.05883924
2019/11/14 12:55:02.178,251.18864315095797,619.4688206,-82.68684217
2019/11/14 12:55:02.474,281.8382931264455,555.7013216,-82.25223446
2019/11/14 12:55:02.770,316.22776601683796,498.5886923,-81.80027401
2019/11/14 12:55:03.064,354.8133892335753,447.6536789,-81.26696308
2019/11/14 12:55:03.348,398.1071705534973,402.1543497,-80.68965351
2019/11/14 12:55:03.605,446.683592150963,361.6255979,-80.06523273
2019/11/14 12:55:03.875,501.18723362727246,325.4283649,-79.39311537
2019/11/14 12:55:04.149,562.341325190349,293.1335,-78.66130797
2019/11/14 12:55:04.407,630.957344480193,264.2123423,-77.90533731
2019/11/14 12:55:04.698,707.945784384138,238.9256559,-77.06341743
2019/11/14 12:55:04.954,794.3282347242813,215.9591038,-76.21895561
2019/11/14 12:55:05.207,891.2509381337459,195.5775981,-75.34160129
2019/11/14 12:55:05.434,1000.0,177.417187,-74.46457079
2019/11/14 12:55:05.607,1122.018454301963,161.1206279,-73.55367599
2019/11/14 12:55:05.795,1258.9254117941675,146.5452259,-72.66601374
2019/11/14 12:55:05.964,1412.5375446227554,133.3833469,-71.74922788
2019/11/14 12:55:06.141,1584.893192461114,121.5874591,-70.8552527
2019/11/14 12:55:06.324,1778.2794100389228,110.8929336,-69.94669021
2019/11/14 12:55:06.486,1995.2623149688789,101.1876847,-69.03643221
2019/11/14 12:55:06.672,2238.72113856834,92.34080056,-68.10158333
2019/11/14 12:55:06.835,2511.886431509582,84.32031288,-67.11417785
