time,freq,imp,phase
2019/11/14 12:54:04.770,20.0,6901.79599,-85.16005569
2019/11/14 12:54:06.151,30.0,4690.51179,-85.23401976
2019/11/14 12:54:07.354,40.0,3571.654333,-85.18049581
2019/11/14 12:54:08.338,50.0,2880.687582,-85.14698666
2019/11/14 12:54:09.202,60.0,2418.672863,-85.02226701
2019/11/14 12:54:10.147,70.0,2089.925597,-84.97285827
2019/11/14 12:54:10.884,80.0,1838.40911,-84.89085772
2019/11/14 12:54:11.616,90.0,1642.289302,-84.77502128
2019/11/14 12:54:12.217,100.0,1485.991728,-84.6742085
2019/11/14 12:54:12.685,112.2018454301963,1331.979522,-84.49932277
2019/11/14 12:54:13.142,125.89254117941675,1192.405629,-84.33157602
2019/11/14 12:54:13.551,141.2537544622754,1067.488423,-84.1478592
2019/11/14 12:54:13.914,158.48931924611142,956.8242121,-83.91294842
2019/11/14 12:54:14.280,177.82794100389228,857.4239139,-83.6353046
2019/11/14 12:54:14.693,199.52623149688787,768.1266361,-83.3255049
2019/11/14 12:54:15.018,223.872113856834,688.5300378,-83.00425336
2019/11/14 12:54:15.329,251.18864315095797,617.499471,-82.61844043
2019/11/14 12:54:15.625,281.8382931264455,553.9948049,-82.17462245
2019/11/14 12:54:15.921,316.22776601683796,497.0763886,-81.71139807
2019/11/14 12:54:16.215,354.8133892335753,446.3867764,-81.192791
2019/11/14 12:54:16.499,398.1071705534973,401.0689192,-80.61796056
2019/11/14 12:54:16.756,446.683592150963,360.7012578,-79.98727222
2019/11/14 12:54:17.025,501.18723362727246,324.5414786,-79.3165353
2019/11/14 12:54:17.299,562.341325190349,292.4139224,-78.58622259
2019/11/14 12:54:17.558,630.957344480193,263.6840369,-77.8262674
2019/11/14 12:54:17.849,707.945784384138,238.1431118,-76.98789297
2019/11/14 12:54:18.105,794.3282347242813,215.4748372,-76.15426752
2019/11/14 12:54:18.358,891.2509381337459,195.1268761,-75.28313027
2019/11/14 12:54:18.585,1000.0,177.0402246,-74.39409757
2019/11/14 12:54:18.758,1122.018454301963,160.8144184,-73.48945652
2019/11/14 12:54:18.946,1258.9254117941675,146.2321853,-72.59747486
2019/11/14 12:54:19.114,1412.5375446227554,133.1472712,-71.68594822
2019/11/14 12:54:19.291,1584.893192461114,121.3829035,-70.78151781
2019/11/14 12:54:19.474,1778.2794100389228,110.7138715,-69.8963554
2019/11/14 12:54:19.636,1995.2623149688789,101.0210953,-68.9874211
2019/11/14 12:54:19.822,2238.72113856834,92.20600984,-68.03686107
2019/11/14 12:54:19.986,2511.886431509582,84.20327943,-67.05394928
2019/11/14 12:54:20.174,2818.382931264455,76.94033069,-66.02117671
2019/11/14 12:54:20.334,3162.2776601683795,70.32127369,-64.87888681
2019/11/14 12:54:20.503,3548.133892335753,64.32477803,-63.65873234
